,Price,Close,High,Low,Open,Volume,Daily_Return
0,Ticker,,,,,,
2,2020-01-01,595.6771240234375,596.3293706466624,591.9500654568958,594.5124182213932,3673698.0,
3,2020-01-02,599.47412109375,600.0564740382747,595.8635328376968,595.8635328376968,6137166.0,0.006374253630332616
4,2020-01-03,590.92529296875,598.6589300292867,588.6890345286461,597.3544364608236,10855550.0,-0.014260545741995534
5,2020-01-06,578.1367797851562,587.8504739642061,575.8306845007339,587.011862840554,10890186.0,-0.0216415058481344
6,2020-01-07,587.2913208007812,592.3461332836704,583.4012142757196,586.4993434976219,14724494.0,0.01583455911424103
7,2020-01-08,585.7540283203125,588.0135468333086,577.717556041525,580.9320994567069,11332110.0,-0.0026175978190391413
8,2020-01-09,592.3228759765625,594.3727698457291,588.4560294308527,589.3412173369028,9546316.0,0.011214344825056788
9,2020-01-10,597.5873413085938,599.544081542198,594.0466463859336,598.2395880531285,9214580.0,0.008887830515327932
10,2020-01-13,599.124755859375,604.0165209733124,594.4659319413395,597.5873212182596,7451568.0,0.0025727026737458747
11,2020-01-14,600.75537109375,602.1763352004535,595.1647821421215,600.5224298874322,7886290.0,0.0027216622555281678
12,2020-01-15,598.3095092773438,600.0332515160003,593.5807912502222,599.3111678734987,11787448.0,-0.004071310776553316
13,2020-01-16,599.8934936523438,601.4541883440652,596.0266469202477,597.2845635432914,7150400.0,0.0026474330600447793
14,2020-01-17,595.4675903320312,598.612296476041,592.555825383874,597.1447555680879,16918814.0,-0.007377815174100633
15,2020-01-20,584.6357421875,607.9065416196968,583.5176132311803,607.9065416196968,22178450.0,-0.018190491506836604
16,2020-01-21,579.7208251953125,582.3530724569011,576.9488473185845,582.3530724569011,14984804.0,-0.008406802112025602
17,2020-01-22,578.0901489257812,584.6823960803707,575.0852302757627,581.4445362366947,18368310.0,-0.002812864742234966
18,2020-01-23,579.9536743164062,580.885439084355,573.501214672443,577.6941561282123,11508920.0,0.003223589597725951
