Price,Close,High,Low,Open,Volume
Ticker,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
Date,,,,,
2020-01-01,595.6771240234375,596.3293706466624,591.9500654568958,594.5124182213932,3673698
2020-01-02,599.4741821289062,600.056535132723,595.8635935052428,595.8635935052428,6137166
2020-01-03,590.9252319335938,598.658868195343,588.6889737244671,597.3543747616177,10855550
2020-01-06,578.1367797851562,587.8504739642061,575.8306845007339,587.011862840554,10890186
2020-01-07,587.2913208007812,592.3461332836704,583.4012142757196,586.4993434976219,14724494
2020-01-08,585.75390625,588.0134242921156,577.717435646002,580.9319783912775,11332110
2020-01-09,592.3228759765625,594.3727698457291,588.4560294308527,589.3412173369028,9546316
2020-01-10,597.5872802734375,599.5440203071881,594.0465857124096,598.2395269513544,9214580
2020-01-13,599.124755859375,604.0165209733124,594.4659319413395,597.5873212182596,7451568
2020-01-14,600.7553100585938,602.1762740209311,595.1647216749543,600.5223688759421,7886290
2020-01-15,598.3095092773438,600.0332515160003,593.5807912502222,599.3111678734987,11787448
2020-01-16,599.8934936523438,601.4541883440652,596.0266469202477,597.2845635432914,7150400
2020-01-17,595.467529296875,598.6122351185539,592.5557646471724,597.1446943610231,16918814
2020-01-20,584.6358642578125,607.9066685488873,583.5177350680307,607.9066685488873,22178450
2020-01-21,579.720703125,582.3529498323231,576.9487258319602,582.3529498323231,14984804
2020-01-22,578.0901489257812,584.6823960803707,575.0852302757627,581.4445362366947,18368310
2020-01-23,579.95361328125,580.8853779511385,573.5011543163528,577.6940953308509,11508920
2020-01-24,579.8139038085938,584.216469285912,577.2748108684818,580.4894104706909,11831756
2020-01-27,565.20849609375,575.364755003102,564.5329893724769,575.364755003102,18888552
2020-01-28,569.8673095703125,572.0104140338276,565.2318025959702,567.8174725762849,13412158
2020-01-29,575.7607421875,578.6259302694377,569.4247530368923,570.8457170791959,13788350
2020-01-30,571.1951293945312,577.2049667543175,567.0720247294748,577.2049667543175,12111984
2020-01-31,571.3116455078125,576.6692934420341,568.4930340638174,573.7108945211547,11178268
2020-02-03,555.70458984375,558.1038388817431,548.6697195962923,557.6612733177518,13077010
2020-02-04,572.942138671875,574.8988218001807,558.1270571447459,558.1270571447459,20897704
2020-02-05,579.8604736328125,581.4211681186657,571.7774262994742,575.3181207568854,18020682
2020-02-06,577.6010131835938,581.7473209820521,576.3896734663177,579.8605314139737,11827550
2020-02-07,578.7190551757812,580.9553132918676,573.7807134456975,580.4894309235501,6815448
2020-02-10,577.8339233398438,579.0684661177814,571.1950996008843,579.0684661177814,9219834
2020-02-11,577.9736938476562,584.6824117792048,576.7857278503509,579.2316104494273,11613520
2020-02-12,581.8870849609375,583.7040375931034,579.5809899584544,580.1167091920769,6297930
2020-02-13,578.3463745117188,586.9651981930836,574.7124693465487,586.9651981930836,9112140
2020-02-14,568.0736694335938,581.6075753387364,566.0470924519831,579.1849528372734,14688858
2020-02-17,567.0487060546875,574.4329298288528,565.7907896043532,570.7058710789495,10152690
2020-02-18,565.2317504882812,567.6776327796997,560.6893976613612,566.9322324078242,10529116
2020-02-19,571.7308349609375,573.0353283753209,565.5346334186361,569.5412105193737,10012268
2020-02-20,567.0254516601562,573.0353459305833,565.6278044749597,573.0353459305833,11123414
2020-02-24,563.6944580078125,565.930716557152,559.0589502931322,563.228575549235,16568084
2020-02-25,559.1986083984375,563.2517621021274,558.1270562434645,560.9223503481898,13886680
2020-02-26,558.70947265625,561.2485090083372,552.3734833397964,557.8941784497473,13814786
2020-02-27,558.8025512695312,560.2235151580101,550.2070448246236,556.729397599852,20655098
2020-02-28,548.6464233398438,552.0706476282661,545.1289884485627,547.6447647991787,24313056
2020-03-02,549.5547485351562,559.5945348269267,543.2886543616646,559.151912520631,14664898
2020-03-03,550.5797119140625,552.2335599178517,544.1505135774038,547.411689600556,22369550
2020-03-04,535.2289428710938,549.7411898936383,527.8912956331067,548.9724726184347,34288870
2020-03-05,536.3936767578125,542.7529827364892,532.3870995898052,537.162394073109,19549708
2020-03-06,528.7299194335938,531.5252136871466,512.936495526939,524.1176725411502,23053566
2020-03-09,515.87158203125,521.0428650742571,496.16473461255987,517.1294417088652,34420590
2020-03-11,518.8997192382812,521.7881666986328,508.743462531167,514.7999323232046,35538240
2020-03-12,475.8056640625,503.1529651713541,467.4896750399993,500.8235532955608,59000770
2020-03-13,498.4009704589844,503.82845444558325,428.239070125055,456.5880002991171,66342364
2020-03-16,465.64947509765625,483.1200657091241,463.55300422428013,482.18830087651247,31986322
2020-03-17,454.2818908691406,470.5411970727661,444.7779075141395,469.60943232608736,42676838
2020-03-18,408.5322570800781,462.62118826098185,402.9882455647022,458.8941293424644,61181406
2020-03-19,417.220947265625,428.58848837232307,370.37648104223007,394.60236407895457,67220048
2020-03-20,411.30426025390625,426.0960262664663,384.1433223651283,407.6470948343316,88637464
2020-03-23,359.4515380859375,390.7588391414496,356.40001423929533,370.1901210632312,50276954
2020-03-24,357.657958984375,377.36478073575626,344.1706565043703,370.49301466680265,61057272
2020-03-25,399.144775390625,404.12972312222985,351.8577083323835,358.9391270173094,47228042
2020-03-26,419.8066101074219,436.8579226365537,391.8070898523411,405.36425602249614,57043156
2020-03-27,421.3673400878906,460.59464364275357,406.2960274682874,440.2355771858335,55235936
2020-03-30,387.45111083984375,413.2376904059768,385.7506286991531,409.9765135933028,39268444
2020-03-31,401.5440368652344,406.9948379925167,390.4094365490034,397.77037250572664,35211092
2020-04-01,386.5193176269531,402.4524718496196,382.02354140583975,402.4524718496196,29103504
2020-04-03,379.15838623046875,393.204752200333,377.3647503344428,392.73886979251273,34996280
2020-04-07,417.4772033691406,422.6950918874773,393.8336717898319,407.18121379932654,60412638
2020-04-08,414.12286376953125,440.2588542172346,403.5007226339045,409.9532107330256,56219352
