Price,Close,High,Low,Open,Volume
Ticker,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
Date,,,,,
2020-01-01,595.6771240234375,596.3293706466624,591.9500654568958,594.5124182213932,3673698
2020-01-02,599.47412109375,600.0564740382747,595.8635328376968,595.8635328376968,6137166
2020-01-03,590.92529296875,598.6589300292867,588.6890345286461,597.3544364608236,10855550
2020-01-06,578.1367797851562,587.8504739642061,575.8306845007339,587.011862840554,10890186
2020-01-07,587.2913208007812,592.3461332836704,583.4012142757196,586.4993434976219,14724494
2020-01-08,585.7540283203125,588.0135468333086,577.717556041525,580.9320994567069,11332110
2020-01-09,592.3228759765625,594.3727698457291,588.4560294308527,589.3412173369028,9546316
2020-01-10,597.5873413085938,599.544081542198,594.0466463859336,598.2395880531285,9214580
2020-01-13,599.124755859375,604.0165209733124,594.4659319413395,597.5873212182596,7451568
2020-01-14,600.75537109375,602.1763352004535,595.1647821421215,600.5224298874322,7886290
2020-01-15,598.3095092773438,600.0332515160003,593.5807912502222,599.3111678734987,11787448
2020-01-16,599.8934936523438,601.4541883440652,596.0266469202477,597.2845635432914,7150400
2020-01-17,595.4675903320312,598.612296476041,592.555825383874,597.1447555680879,16918814
2020-01-20,584.6357421875,607.9065416196968,583.5176132311803,607.9065416196968,22178450
2020-01-21,579.7208251953125,582.3530724569011,576.9488473185845,582.3530724569011,14984804
2020-01-22,578.0901489257812,584.6823960803707,575.0852302757627,581.4445362366947,18368310
2020-01-23,579.9536743164062,580.885439084355,573.501214672443,577.6941561282123,11508920
2020-01-24,579.8139038085938,584.216469285912,577.2748108684818,580.4894104706909,11831756
2020-01-27,565.20849609375,575.364755003102,564.5329893724769,575.364755003102,18888552
2020-01-28,569.8673095703125,572.0104140338276,565.2318025959702,567.8174725762849,13412158
2020-01-29,575.7606201171875,578.6258075916604,569.4246323099089,570.8455960509458,13788350
2020-01-30,571.1951293945312,577.2049667543175,567.0720247294748,577.2049667543175,12111984
2020-01-31,571.3115234375,576.6691702269703,568.4929125957485,573.7107719382025,11178268
2020-02-03,555.7045288085938,558.1037775830681,548.6696593338028,557.6612120676856,13077010
2020-02-04,572.9420776367188,574.8987605565802,558.1269976878308,558.1269976878308,20897704
2020-02-05,579.8605346679688,581.4212293180981,571.7774864838223,575.3181813139211,18020682
2020-02-06,577.60107421875,581.7473824553491,576.3897343734716,579.8605926878936,11827550
2020-02-07,578.7190551757812,580.9553132918676,573.7807134456975,580.4894309235501,6815448
2020-02-10,577.8338623046875,579.0684049522235,571.1950392669704,579.0684049522235,9219834
2020-02-11,577.9736938476562,584.6824117792048,576.7857278503509,579.2316104494273,11613520
2020-02-12,581.8870239257812,583.7039763673639,579.5809291651885,580.1166483426184,6297930
2020-02-13,578.346435546875,586.9652601378181,574.7125299982047,586.9652601378181,9112140
2020-02-14,568.0736083984375,581.6075128494658,566.0470316345669,579.184890608295,14688858
2020-02-17,567.0487060546875,574.4329298288528,565.7907896043532,570.7058710789495,10152690
2020-02-18,565.2318115234375,567.6776940789686,560.6894582060227,566.9322936266028,10529116
2020-02-19,571.7308349609375,573.0353283753209,565.5346334186361,569.5412105193737,10012268
2020-02-20,567.0254516601562,573.0353459305833,565.6278044749597,573.0353459305833,11123414
2020-02-24,563.6943359375,565.9305940025687,559.0588292266576,563.2284535798111,16568084
2020-02-25,559.1986083984375,563.2517621021274,558.1270562434645,560.9223503481898,13886680
2020-02-26,558.70947265625,561.2485090083372,552.3734833397964,557.8941784497473,13814786
2020-02-27,558.8025512695312,560.2235151580101,550.2070448246236,556.729397599852,20655098
2020-02-28,548.6463623046875,552.0705862121758,545.1289278047099,547.6447038754537,24313056
2020-03-02,549.5548095703125,559.5945969771311,543.2887147008902,559.1519746216763,14664898
2020-03-03,550.579833984375,552.2336823548427,544.1506342222837,547.4118109684788,22369550
2020-03-04,535.22900390625,549.7412525837075,527.8913558315098,548.9725352208427,34288870
2020-03-05,536.3936767578125,542.7529827364892,532.3870995898052,537.162394073109,19549708
2020-03-06,528.7299194335938,531.5252136871466,512.936495526939,524.1176725411502,23053566
2020-03-09,515.87158203125,521.0428650742571,496.16473461255987,517.1294417088652,34420590
2020-03-11,518.8998413085938,521.7882894484478,508.7435822122366,514.800053429049,35538240
2020-03-12,475.8056640625,503.1529651713541,467.4896750399993,500.8235532955608,59000770
2020-03-13,498.4010009765625,503.8284852954916,428.23909634655143,456.58802825644625,66342364
2020-03-16,465.6494140625,483.1200023840045,463.55294346391946,482.18823767352427,31986322
2020-03-17,454.2818908691406,470.5411970727661,444.7779075141395,469.60943232608736,42676838
2020-03-18,408.5323181152344,462.62125737708226,402.9883057715772,458.8941979017382,61181406
2020-03-19,417.220947265625,428.58848837232307,370.37648104223007,394.60236407895457,67220048
2020-03-20,411.30426025390625,426.0960262664663,384.1433223651283,407.6470948343316,88637464
2020-03-23,359.4515686035156,390.75887231703,356.40004449779786,370.19015249251925,50276954
2020-03-24,357.6579284667969,377.3647485366708,344.1706271376118,370.4929830540586,61057272
2020-03-25,399.14471435546875,404.12966132480113,351.85765452812115,358.93907213019304,47228042
2020-03-26,419.80657958984375,436.85789087944113,391.8070613701706,405.3642265547959,57043156
2020-03-27,421.3673095703125,460.5946102841334,406.2959980422508,440.2355453017211,55235936
2020-03-30,387.45111083984375,413.2376904059768,385.7506286991531,409.9765135933028,39268444
2020-03-31,401.54400634765625,406.99480706067453,390.4094068776613,397.77034227494914,35211092
2020-04-01,386.5193176269531,402.4524718496196,382.02354140583975,402.4524718496196,29103504
2020-04-03,379.15838623046875,393.204752200333,377.3647503344428,392.73886979251273,34996280
2020-04-07,417.4771728515625,422.6950609884716,393.8336430005956,407.1811840343851,60412638
2020-04-08,414.1228942871094,440.2588866608284,403.5007523687148,409.95324094333324,56219352
