Title,Source,Published,URL,Description
HDFC Bank Opening Bell Updates: Geopolitical Jitters Cap Early Gains | LatestLY,LatestLY,2026-07-14T04:03:47Z,https://www.latestly.com/business/hdfc-bank-opening-bell-updates-geopolitical-jitters-cap-early-gains-7515695.html,"HDFC Bank (NSE: HDFCBANK) share price starts lower at ₹814.05, down 0.48%, amidst global market weakness and FII selling, despite strong Q1 business updates. HDFC Bank Opening Bell Updates: Geopolitical Jitters Cap Early Gains."
"Sensex today | Stock Market Highlights: Markets end in green; Sensex gains 827 pts, Nifty closes at 24,207",BusinessLine,2026-07-10T10:33:33Z,https://www.thehindubusinessline.com/markets/sensex-nifty50-today-stock-market-highlights-10th-july-2026/article71203430.ece,"Sensex Today, Nifty 50 | Stock Market Highlights - Find here all the highlights related to Sensex, Nifty, BSE, NSE, share prices and Indian stock markets for 10 July 2026"
